"endTime","artistName","trackName","msPlayed"
"2019-10-05 15:46","NF","Let Me Go","204366"
"2019-10-05 15:50","NF","Only","196833"
"2019-10-05 15:52","NF","When I Grow Up","156138"
"2019-10-05 15:56","NF","Returns","241442"
"2019-10-05 16:02","NF","Time","218960"
"2019-10-05 16:09","Joyner Lucas","Isis","408145"
"2019-10-05 16:09","Eminem","Nice Guy (with Jessie Reyez)","0"
"2019-10-05 16:09","Eminem","Nice Guy (with Jessie Reyez)","1611"
"2019-10-05 16:09","Eminem","Kamikaze","1414"
"2019-10-05 16:09","Eminem","Kamikaze","990"
"2019-10-05 16:12","Eminem","Good Guy (feat. Jessie Reyez)","198557"
"2019-10-05 16:16","Eminem","Lucky You (feat. Joyner Lucas)","235540"
"2019-10-05 16:16","Eminem","Kamikaze","692"
"2019-10-05 16:22","Eminem","Not Alike (feat. Royce Da 5'9)","324478"
"2019-10-05 16:24","Eminem","Kamikaze","116898"
"2019-10-05 16:28","NF","The Search","248040"
"2019-10-05 16:31","NF","Can You Hold Me","221200"
"2019-10-05 16:36","Tom MacDonald","I'm Sorry","282904"
"2019-10-08 07:31","NF","Let You Down","212120"
"2019-10-08 07:33","NF","Real","90137"
"2019-10-08 07:33","NF","NO NAME","9727"
"2019-10-08 07:37","Mads Veslelia","Me and My Shadow","234205"
"2019-10-08 07:41","OnklP & De Fjerne Slektningene","Styggen på ryggen","11538"
"2019-10-08 07:41","Mads Veslelia","Can't Shut Me Down","205621"
"2019-10-08 07:41","Kaveh","Vill","15650"
"2019-10-08 07:41","Cir.Cuz","Gatelys","12918"
"2019-10-08 07:42","Mads Veslelia","Sleep","59487"
"2019-10-08 10:12","Mads Veslelia","Brightness","50885"
"2019-10-08 10:15","NF","Grindin'","2125"
"2019-10-08 10:15","NF","My Life","142482"
"2019-10-08 10:15","NF","10 Feet Down","1276"
"2019-10-08 10:15","NF","How Could You Leave Us","1420"
"2019-10-08 10:17","NF","Oh Lord","142494"
"2019-10-08 10:18","NF","The Search","1127"
"2019-10-08 10:18","NF","I Miss The Days","904"
"2019-10-08 10:18","NF","Real","1994"
"2019-10-08 10:18","NF","Only One","1108"
"2019-10-08 10:18","NF","No Excuses","3482"
"2019-10-08 10:18","NF","NO NAME","48978"
"2019-10-08 10:18","NF","Destiny","3210"
"2019-10-08 10:20","NF","Time","119320"
"2019-10-08 10:23","NF","Remember This","141708"
"2019-10-08 10:24","NF","Options","80872"
"2019-10-08 10:36","NF","Options","125168"
"2019-10-08 11:23","NF","Therapy Session","61531"
"2019-10-08 12:01","Mads Veslelia","More Than Crazy","219111"
"2019-10-08 12:06","Mads Veslelia","Devil Whisper","266107"
"2019-10-08 12:07","Mads Veslelia","The Dark Light","55744"
"2019-10-08 12:09","Mads Veslelia","Me and My Shadow","112622"
"2019-10-08 12:09","Mads Veslelia","Blow","13520"
"2019-10-08 12:09","Mads Veslelia","We Are","2713"
"2019-10-08 12:09","Mads Veslelia","Can't Back Down","1365"
"2019-10-08 12:09","Robin og Bugge","Sinnsyk","4630"
